RECmd Output
NormalizedTimestamp,ExtractionTimestamp,ArtifactType,HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
2025-02-04 13:16:39,2025-03-11 15:27:53,System,./registry_dir/registry.0xfffff8a000024010.SYSTEM.reg,System,Windows Boot Volume,System Info,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\Setup,SystemPartition,RegSz,\Device\HarddiskVolume1,,,Identifies the system volume where Windows booted from,False,False,2025-02-04 13:16:39.165217500,
2009-07-14 05:08:22,2025-03-11 15:27:53,System,./registry_dir/registry.0xfffff8a000024010.SYSTEM.reg,System,ControlSet Configuration,System Info,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\Select,Current,RegDword,1,,,Displays value for the current ControlSet,False,False,2009-07-14 05:08:22.575637000,
2009-07-14 05:08:22,2025-03-11 15:27:53,System,./registry_dir/registry.0xfffff8a000024010.SYSTEM.reg,System,ControlSet Configuration,System Info,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\Select,Default,RegDword,1,,,Displays value for the default ControlSet,False,False,2009-07-14 05:08:22.575637000,
2009-07-14 05:08:22,2025-03-11 15:27:53,System,./registry_dir/registry.0xfffff8a000024010.SYSTEM.reg,System,ControlSet Configuration,System Info,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\Select,Failed,RegDword,0,,,Displays value for the ControlSet that was unable to boot Windows successfully,False,False,2009-07-14 05:08:22.575637000,
2009-07-14 05:08:22,2025-03-11 15:27:53,System,./registry_dir/registry.0xfffff8a000024010.SYSTEM.reg,System,ControlSet Configuration,System Info,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\Select,LastKnownGood,RegDword,2,,,Displays value for the last known good ControlSet,False,False,2009-07-14 05:08:22.575637000,
2025-02-05 05:16:00,2025-03-11 15:27:53,System,./registry_dir/registry.0xfffff8a000024010.SYSTEM.reg,System,Shutdown Time,System Info,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\Windows,ShutdownTime,RegBinary,2025-02-05 05:16:00.3938194,,,Last system shutdown time,False,False,2025-02-05 05:16:00.393819400,
2025-02-05 05:16:00,2025-03-11 15:27:53,System,./registry_dir/registry.0xfffff8a000024010.SYSTEM.reg,System,Shutdown Time,System Info,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet002\Control\Windows,ShutdownTime,RegBinary,2025-02-05 05:16:00.3938194,,,Last system shutdown time,False,False,2025-02-05 05:16:00.393819400,
2009-07-14 04:49:01,2025-03-11 15:27:53,System,./registry_dir/registry.0xfffff8a000024010.SYSTEM.reg,System,Windows OS Language,System Info,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\Nls\Language,InstallLanguage,RegSz,0409,,,"Default OS Language, 0409 is English",False,False,2009-07-14 04:49:01.505588100,
2009-07-14 04:49:01,2025-03-11 15:27:53,System,./registry_dir/registry.0xfffff8a000024010.SYSTEM.reg,System,Windows OS Language,System Info,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet002\Control\Nls\Language,InstallLanguage,RegSz,0409,,,"Default OS Language, 0409 is English",False,False,2009-07-14 04:49:01.505588100,
2009-07-14 04:49:01,2025-03-11 15:27:53,System,./registry_dir/registry.0xfffff8a000024010.SYSTEM.reg,System,Virtual Memory Pagefile Encryption Status,System Info,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet001\Control\FileSystem,NtfsEncryptPagingFile,RegDword,0,,,"Virtual Memory Pagefile Encryption, 0 = Disabled, 1 = Enabled",False,False,2009-07-14 04:49:01.489988100,
2009-07-14 04:49:01,2025-03-11 15:27:53,System,./registry_dir/registry.0xfffff8a000024010.SYSTEM.reg,System,Virtual Memory Pagefile Encryption Status,System Info,CMI-CreateHive{2A7FB991-7BBE-4F9D-B91E-7CB51D4737F5}\ControlSet002\Control\FileSystem,NtfsEncryptPagingFile,RegDword,0,,,"Virtual Memory Pagefile Encryption, 0 = Disabled, 1 = Enabled",False,False,2009-07-14 04:49:01.489988100,
