RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
1,1,2025-02-04 13:20:39.7842471,100,Info,Microsoft-Windows-WindowsBackup,Microsoft-Windows-WindowsBackup/ActionCenter,1480,2896,WIN-TBJN73HR3NM,0,S-1-5-19,,,,,,,,,,,False,C:\Users\chua0\Downloads\new\evtx_dir\file.968.0xfffffa8001aa5910.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""hc_stateid"",""#text"":""1""},{""@Name"":""pwszTimeStamp""}]}}"
1,1,2025-02-04 14:37:35.5064737,4000,Info,Microsoft-Windows-LanguagePackSetup,Microsoft-Windows-LanguagePackSetup/Operational,2992,2700,WIN-TBJN73HR3NM,0,S-1-5-18,,,,,,,,,,,False,C:\Users\chua0\Downloads\new\evtx_dir\file.968.0xfffffa8001aae590.evtx,0x4000000000000000,0,"{""EventData"":""""}"
2,2,2025-02-04 14:37:35.5064737,4001,Info,Microsoft-Windows-LanguagePackSetup,Microsoft-Windows-LanguagePackSetup/Operational,2992,2700,WIN-TBJN73HR3NM,0,S-1-5-18,,,,,,,,,,,False,C:\Users\chua0\Downloads\new\evtx_dir\file.968.0xfffffa8001aae590.evtx,0x4000000000000000,0,"{""EventData"":""""}"
1,1,2025-02-04 13:20:39.7842471,100,Info,Microsoft-Windows-WindowsBackup,Microsoft-Windows-WindowsBackup/ActionCenter,1480,2896,WIN-TBJN73HR3NM,0,S-1-5-19,,,,,,,,,,,False,C:\Users\chua0\Downloads\new\evtx_dir\file.968.0xfffffa8001adde00.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""hc_stateid"",""#text"":""1""},{""@Name"":""pwszTimeStamp""}]}}"
1,1,2025-02-04 13:19:26.9633192,42,Info,Microsoft-Windows-WindowsUpdateClient,Microsoft-Windows-WindowsUpdateClient/Operational,920,2068,WIN-TBJN73HR3NM,0,S-1-5-18,,,,,,,,,,,False,C:\Users\chua0\Downloads\new\evtx_dir\file.968.0xfffffa8001b36e00.evtx,0x4000000000000480,0,"{""EventData"":{""Data"":[{""@Name"":""hc_stateid"",""#text"":""0""},{""@Name"":""restartDate""},{""@Name"":""restartTime""}]}}"
2,2,2025-02-04 13:19:26.9633192,42,Info,Microsoft-Windows-WindowsUpdateClient,Microsoft-Windows-WindowsUpdateClient/Operational,920,2068,WIN-TBJN73HR3NM,0,S-1-5-18,,,,,,,,,,,False,C:\Users\chua0\Downloads\new\evtx_dir\file.968.0xfffffa8001b36e00.evtx,0x4000000000000480,0,"{""EventData"":{""Data"":[{""@Name"":""hc_stateid"",""#text"":""0""},{""@Name"":""restartDate""},{""@Name"":""restartTime""}]}}"
3,3,2025-02-04 13:19:26.9633192,30,Info,Microsoft-Windows-WindowsUpdateClient,Microsoft-Windows-WindowsUpdateClient/Operational,920,2068,WIN-TBJN73HR3NM,0,S-1-5-18,,,,,,,,,,,False,C:\Users\chua0\Downloads\new\evtx_dir\file.968.0xfffffa8001b36e00.evtx,0x4000000000000001,0,"{""EventData"":""""}"
4,4,2025-02-04 15:45:09.7781295,42,Info,Microsoft-Windows-WindowsUpdateClient,Microsoft-Windows-WindowsUpdateClient/Operational,920,260,WIN-TBJN73HR3NM,0,S-1-5-18,,,,,,,,,,,False,C:\Users\chua0\Downloads\new\evtx_dir\file.968.0xfffffa8001b36e00.evtx,0x4000000000000480,0,"{""EventData"":{""Data"":[{""@Name"":""hc_stateid"",""#text"":""0""},{""@Name"":""restartDate""},{""@Name"":""restartTime""}]}}"
1,1,2025-02-04 13:19:26.9633192,42,Info,Microsoft-Windows-WindowsUpdateClient,Microsoft-Windows-WindowsUpdateClient/Operational,920,2068,WIN-TBJN73HR3NM,0,S-1-5-18,,,,,,,,,,,False,C:\Users\chua0\Downloads\new\evtx_dir\file.968.0xfffffa8001b3ab20.evtx,0x4000000000000480,0,"{""EventData"":{""Data"":[{""@Name"":""hc_stateid"",""#text"":""0""},{""@Name"":""restartDate""},{""@Name"":""restartTime""}]}}"
2,2,2025-02-04 13:19:26.9633192,42,Info,Microsoft-Windows-WindowsUpdateClient,Microsoft-Windows-WindowsUpdateClient/Operational,920,2068,WIN-TBJN73HR3NM,0,S-1-5-18,,,,,,,,,,,False,C:\Users\chua0\Downloads\new\evtx_dir\file.968.0xfffffa8001b3ab20.evtx,0x4000000000000480,0,"{""EventData"":{""Data"":[{""@Name"":""hc_stateid"",""#text"":""0""},{""@Name"":""restartDate""},{""@Name"":""restartTime""}]}}"
